rank	title	artist	url	file_name	status
1	锁（我就当我的爱 是罪）	张子墨	https://sf5-hl-ali-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/o844ffpkGY97g5w9KfLKIimxcEewmGCQI9Aj18	001 - 锁（我就当我的爱 是罪） - 张子墨 - 67c200cd1f.m4a	downloaded
2	通俗爱情_陈默之	陈默之	https://sf6-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/owVYEHaygcrZCQmipOYmRfF6tmAUChfLBbOgDc	002 - 通俗爱情_陈默之 - 陈默之 - 9303983cb5.m4a	downloaded
3	如果我一颗心被你俘虏	好久不见	https://sf5-hl-ali-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/owas4tQAGXFF0Ef5NfzNlSfgWJDyBCFYogYTYL	003 - 如果我一颗心被你俘虏 - 好久不见 - d7b6b95999.m4a	downloaded
4	Time is broken (宿命氛围感)（大头钉 Remix）	大头钉	https://sf6-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/ooYIWIarPDgQ5x0xAaoBAW9TGQlAiiaUMLBA8	004 - Time is broken (宿命氛围感)（大头钉 Remix） - 大头钉 - 4e24240ee7.m4a	downloaded
5	咏春 (氛围版)（Cover 七朵组合）	图钉姐	https://sf5-hl-ali-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/okNnekhimEs5QM9IJAi0BsRBQ7hWDAUPv9sWH8	005 - 咏春 (氛围版)（Cover 七朵组合） - 图钉姐 - 1d63e22fde.m4a	downloaded
6	心绪(我想要的只是你在我身边)	宇宙草	https://sf5-hl-ali-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/og0coB8Q2ATIkBis3AGMWPFHVvWTwZf145nBiZ	006 - 心绪(我想要的只是你在我身边) - 宇宙草 - e8e1ff1e33.m4a	downloaded
7	You And Me	Jamvana/ZEKEN	https://sf6-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/oAp3D85igPswQMhILAi0BHdBwDovCAnKf4uWBx	007 - You And Me - Jamvana_ZEKEN - 31205f91c1.m4a	downloaded
8	自由自在简简单单（剪辑版）	VEA	https://sf6-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/ocYAD4e0OUWeCvCbe08hsYgfkEeiCAfbQB0PPfI	008 - 自由自在简简单单（剪辑版） - VEA - 1ac810dd2c.m4a	downloaded
9	苦茶子（X0.9）（Cover Starling8 &  MoreLearn 27 & FIVESTAR）	杨景宏	https://sf5-hl-ali-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/oAetArcDXYCuBFEMlrxPdfgGagEjVBDFnQtZFF	009 - 苦茶子（X0.9）（Cover Starling8 & MoreLearn 27 & FIVESTAR） - 杨景宏 - 9335c992ca.m4a	downloaded
10	忘了算了（Cover 范怡文）（主歌）	溫月月.	https://sf5-hl-ali-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/oEr1CFDrZtAeHYY1ZNEQgABCYOXgGp56ppfoIt	010 - 忘了算了（Cover 范怡文）（主歌） - 溫月月. - 4ce7795e48.m4a	downloaded
11	ditto(氛围感)	@天子	https://sf5-hl-ali-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/o0rCQBEmNODBZngpjJkGF5uAffDQyoMtaCIaQl	011 - ditto(氛围感) - @天子 - 82687c59bc.m4a	downloaded
12	拿下拿下（Cover 王者阿水 & 阿水）（剪辑版）	长顺	https://sf5-hl-ali-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/oYJXbFAzsaDMrEMTyNFfBCAKDYA5JQIxzuDfaf	012 - 拿下拿下（Cover 王者阿水 & 阿水）（剪辑版） - 长顺 - 9ac4b5a0e4.m4a	downloaded
13	你不必是一朵花（剪辑版）	J.H.H	https://sf6-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/oAoQtZUEZDefdgqYygKM9MYlICRpFqDLYNBAFB	013 - 你不必是一朵花（剪辑版） - J.H.H - 4169270d9e.m4a	downloaded
14	几分之几（氛围r&b）（Cover 卢广仲）（剪辑版）	PPR	https://sf6-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/o4NeixD1IFCzMTBXLGEN9vtMAuLMfZWcpZPJgq	014 - 几分之几（氛围r&b）（Cover 卢广仲）（剪辑版） - PPR - f2fcf25b4a.m4a	downloaded
15	here with me (Tove Ball Remix)	Tove Ball	https://sf6-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/oYMDnQQ0xhuEtBBRYVBAST5CElDHAyCIegfFZQ	015 - here with me (Tove Ball Remix) - Tove Ball - d6a475ee12.m4a	downloaded
16	你很哇塞(女神节版)	夏梓薰	https://sf5-hl-ali-cdn-tos.douyinstatic.com/obj/tos-cn-ve-2774/ocAd6jRB8tNDteeZ1YoZ9ACDTJgb0tUS2OyQun	016 - 你很哇塞(女神节版) - 夏梓薰 - cef776b766.m4a	downloaded
